full_text_final_entire,type_taegyoon,type_drew,stance_taegyoon,stance_drew,stance_final,stance_binary_pro_rest_taegyoon,stance_binary_pro_rest_drew,stance_binary_anti_rest_taegyoon,stance_binary_anti_rest_drew
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,HPV,HPV,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,Swine Flu,Swine Flu,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,Measles,Measles,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,COVID-19,COVID-19,-1,-1,-1,0,0,1,1
,COVID-19,General,-1,-1,-1,0,0,1,1
,General,General,1,-1,1,1,0,0,1
,General,General,-1,-1,-1,0,0,1,1
,Measles,Measles,-1,0,-1,0,0,1,0
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,Whooping Cough,Whooping Cough,-1,-1,-1,0,0,1,1
,COVID-19,COVID-19,-1,-1,-1,0,0,1,1
,General,COVID-19,-1,-1,-1,0,0,1,1
,Flu,Flu,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,COVID-19,COVID-19,-1,-1,-1,0,0,1,1
,General,General,0,-1,-1,0,0,0,1
,General,COVID-19,-1,0,-1,0,0,1,0
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,COVID-19,COVID-19,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,COVID-19,COVID-19,-1,-1,-1,0,0,1,1
,Measles,Measles,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,General,-1,-1,-1,0,0,1,1
,General,COVID-19,-1,-1,-1,0,0,1,1
,General,COVID-19,-1,-1,-1,0,0,1,1
,COVID-19,COVID-19,0,1,0,0,1,0,0
,General,General,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,General,General,0,1,0,0,1,0,0
,General,General,0,1,0,0,1,0,0
,General,COVID-19,0,1,0,0,1,0,0
,General,General,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,HPV,HPV,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,Racism,Racism,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,Measles,Measles,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,Smallpox,Smallpox,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,Flu,Flu,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,1,0,0,1,0,0,0
,General,General,-1,0,0,0,0,1,0
,General,General,0,0,0,0,0,0,0
,Flu,Flu,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,Flu,Flu,1,0,0,1,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,Measles,Measles,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,Dengue,Dengue,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,Racism,Racism,0,0,0,0,0,0,0
,General,COVID-19,0,-1,0,0,0,0,1
,General,General,0,-1,0,0,0,0,1
,COVID-19,COVID-19,0,-1,0,0,0,0,1
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,1,0,0,1,0,0,0
,General,General,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,Measles,0,1,0,0,1,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,1,0,0,1,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,1,0,0,1,0,0
,General,General,0,0,0,0,0,0,0
,Measles,Measles,-1,0,0,0,0,1,0
,General,General,0,1,0,0,1,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,General,General,0,0,0,0,0,0,0
,HPV,HPV,1,0,0,1,0,0,0
,HPV,HPV,-1,0,0,0,0,1,0
,Polio,Polio,0,0,0,0,0,0,0
,General,General,0,1,0,0,1,0,0
,Measles,Measles,0,0,0,0,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,Polio,Polio,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,Hepatitis,Hepatitis,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,General,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,General,General,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,1,0,0,1,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,0,0,1,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,1,0,0,1,0,0,0
,General,COVID-19,1,0,0,1,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,COVID-19,0,-1,0,0,0,0,1
,General,General,1,0,0,1,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,Cancer,Breast Cancer,0,0,0,0,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
