created_at,user.screen_name,user.name,favorite_count,retweet_count,legislator_state,keyword,label_drew,label_taegyoon,label_final,agreement
Tue Mar 17 00:44:32 +0000 2020,HalaAyala,Hala Ayala,0,26,Virginia,coronavirus,0,1,0,0
Thu Sep 17 05:17:26 +0000 2020,DrPanMD,Dr. Richard Pan,0,7,California,measles,1,0,1,0
Wed May 20 15:03:43 +0000 2020,bradhoylman,Senator Brad Hoylman,48,12,New_York,measles,1,0,1,0
Fri Aug 30 00:00:35 +0000 2019,docpetit_art,Doc Petit,0,0,Connecticut,measles,1,0,1,0
Thu May 02 19:45:35 +0000 2019,Bri4CO,Representative Bri Buentello,0,7,Colorado,measles,1,0,1,0
Wed Apr 24 01:16:00 +0000 2019,Rendon63rd,Anthony Rendon,90,34,California,measles,1,0,1,0
Wed Aug 28 13:16:03 +0000 2019,DrPanMD,Dr. Richard Pan,0,2,California,measles,1,0,1,0
Fri Jul 26 17:40:03 +0000 2019,DrPanMD,Dr. Richard Pan,0,3,California,measles,1,0,1,0
Mon May 13 12:55:55 +0000 2019,lauriejinkins2,Laurie Jinkins,2,0,Washington,measles,1,0,1,0
Thu May 02 16:55:12 +0000 2019,GordonHintz,Gordon Hintz,5,3,Wisconsin,measles,1,0,1,0
Wed Jun 12 16:58:50 +0000 2019,DrPanMD,Dr. Richard Pan,0,3,California,@drpanmd,0,1,1,0
Tue Jan 26 07:19:42 +0000 2021,SenSaraGelser,Sara Gelser,1,3,Oregon,risk,1,0,1,0
Wed Dec 02 19:30:19 +0000 2015,SenElderVogelJr,Senator Elder Vogel Jr,0,0,Pennsylvania,rabies,1,0,1,0
Mon Aug 05 15:45:04 +0000 2019,SenatorOMara,Tom O'Mara,0,1,New_York,rabies,1,0,1,0
Wed Oct 22 15:08:42 +0000 2014,SenatorRitchie,Patty Ritchie,0,0,New_York,rabies,1,0,1,0
Tue Oct 27 17:06:55 +0000 2020,AnnaMKaplan,Senator Anna M. Kaplan,0,4,New_York,#flu,1,0,1,0
Mon Aug 03 16:59:44 +0000 2020,DrPanMD,Dr. Richard Pan,1,1,California,threats,1,0,1,0
Wed Oct 21 18:18:02 +0000 2020,SenJoeAddabbo,SenatorJoeAddabbo,9,2,New_York,shots,1,0,1,0
Sun Sep 08 02:30:53 +0000 2019,DrPanMD,Dr. Richard Pan,0,4,California,@vaccinatecal,0,1,0,0
Tue May 07 04:45:37 +0000 2019,EWReschke,E. Werner Reschke 🇺🇸,0,128,Oregon,#hb3063,1,0,1,0
Fri Sep 18 10:18:21 +0000 2020,MatMuratore,Mathew Muratore,0,2,Massachusetts,vaccine,1,1,1,1
Mon Jan 04 22:25:43 +0000 2021,SenMannyDiazJr,Manny Diaz Jr.,40,4,Florida,vaccine,1,1,1,1
Wed Jun 05 14:32:26 +0000 2019,DrPanMD,Dr. Richard Pan,0,42,California,vaccine,1,1,1,1
Fri Jan 29 21:12:18 +0000 2021,AnaHdzTx,Ana Hernandez,0,65,Texas,vaccine,1,1,1,1
Fri Jan 08 20:49:25 +0000 2021,JuliaKirt,Julia Kirt,0,18,Oklahoma,vaccine,1,1,1,1
Sun Jan 31 20:32:18 +0000 2021,DrPanMD,Dr. Richard Pan 🇺🇸,0,46,California,vaccine,1,1,1,1
Sun Nov 29 00:39:09 +0000 2020,MindyForMA,Mindy Domb,0,53,Massachusetts,vaccine,1,1,1,1
Sat Jan 16 20:28:36 +0000 2021,bobkressig,Bob Kressig,1,0,Iowa,vaccine,1,1,1,1
Tue Jan 12 18:04:41 +0000 2021,SenGregClausen,Greg Clausen,0,11,Minnesota,vaccine,1,1,1,1
Wed Dec 16 22:59:39 +0000 2020,VictoriaLSteele,Victoria Steele,0,67,Arizona,vaccine,1,1,1,1
Mon Jan 11 18:36:00 +0000 2021,KatrinaJack_Sen,Katrina Jackson,2,1,Louisiana,vaccines,1,1,1,1
Thu Dec 31 18:00:57 +0000 2020,GeneforTexas,Gene Wu,18,2,Texas,vaccines,1,1,1,1
Mon Nov 16 14:07:48 +0000 2020,karlarosehanson,Karla Rose Hanson,7,0,North_Dakota,vaccines,1,1,1,1
Fri Jan 15 23:17:45 +0000 2021,Book4Senate,Lauren Book,0,2,Florida,vaccines,1,1,1,1
Sun Feb 08 17:54:58 +0000 2015,MarcLevine,Marc Levine,3,1,California,vaccines,1,1,1,1
Tue Dec 15 18:40:59 +0000 2020,SollmanJaneen,Janeen Sollman,0,0,Oregon,vaccines,1,1,1,1
Fri Jan 29 23:14:16 +0000 2021,CarlosGSmith,Rep. Carlos G Smith,41,9,Florida,vaccines,1,1,1,1
Tue Dec 15 14:00:50 +0000 2020,RepKarenKwan,Karen Kwan,0,1,Utah,vaccines,1,1,1,1
Thu Nov 19 21:01:18 +0000 2020,LindaStewartFL,Linda Stewart,8,3,Florida,vaccines,1,1,1,1
Fri Jan 15 20:58:20 +0000 2021,SenJasonLewis,Jason Lewis,0,0,Massachusetts,vaccines,1,1,1,1
Wed Nov 04 16:41:08 +0000 2020,KarinesReyesNYC,"Karines Reyes, R.N.",0,7,New_York,flu,1,1,1,1
Tue Feb 20 20:53:47 +0000 2018,EllenCJaffee,Ellen C. Jaffee,0,0,New_York,flu,1,1,1,1
Sat Mar 21 16:48:28 +0000 2020,CindyFriedmanMA,Cindy Friedman,1,1,Massachusetts,flu,0,0,0,1
Thu Sep 24 12:27:12 +0000 2020,DonnaHowardTX,Donna Howard,0,0,Texas,flu,0,0,0,1
Thu Oct 22 14:14:00 +0000 2020,AnaHdzTx,Ana Hernandez,0,7,Texas,flu,0,0,0,1
Mon Mar 16 17:40:46 +0000 2020,RepJimNeely,Dr. Jim Neely,5,1,Missouri,flu,0,0,0,1
Mon Apr 27 16:30:57 +0000 2020,senatorjen,Jen Jordan,10,3,Georgia,flu,0,0,0,1
Tue Sep 08 22:17:38 +0000 2020,ErinForYall,Erin Zwiener,0,5,Texas,flu,1,1,1,1
Thu Nov 05 23:53:05 +0000 2020,GeneforTexas,Gene Wu,49,5,Texas,flu,1,1,1,1
