"","text","vaccine"
"1","TY  @MassBio @BobCoughlin &amp; #massmedic  briefing colleagues &amp;I  where we r state &amp; globally re supply chain manufacturing PPE testing all the meds that assist ...research and development in both treating the virus and the journey to a vaccine Special TY House Covid wrk group https://t.co/VMACUC9oi3",1
"2","Colorado's low vaccination rates could lead to measles outbreak, experts say. #coleg #hb1312 https://t.co/TMMHXtcPpv",1
"3","I'm very impressed by the senior project I saw this morning 
@Madison_Schools. They did a fantastic job presenting their case and proposed solutions for increasing Idaho's vaccination rates.",1
"4","I'm hosting a Tdap Vaccine Clinic with the PA Dept of Health on August 8th from 10-11:30 AM at my Pen Argyl office (2 N. Robinson Avenue). https://t.co/yV6sGfNHj1",1
"5","RT @chrisvcsefalvay: I've been saying this for quite some time - we're on the verge of outright violence, and unless anti-vaccine hate rhet…",1
"6","City of Bakersfield Animal Control Divisions hosts low cost rabies vaccinations, licensing for pets - @KERO TurnTo23 http://t.co/o3kkyppcFA",1
"7","RT @njassemblydems: .@herbconaway on Christie vaccine comments: “Disappointing &amp; from a medical point of view disturbing...""""
http://t.co/em…",1
"8","Remember your furry companions this summer and keep their rabies vaccine up to date. Rabies is 100% fatal and widespread throughout PA. This is the time of year that our four-legged friends are most at risk for coming in contact with a rabid animal. Call your vet today.... https://t.co/nuurCCPSoP",1
"9","RT @Newsweek: The teenager who defied his anti-vaccine parents and got inoculated at the age of 18, has testified in Congress on the danger…",1
"10","#FakeMEsHurtKids #VaccinesWork #Ivax2protect @VaccinateCal @CMAdocs @MedBoardOfCA @CAPublicHealth https://t.co/DJ6sJUCt2l",1
"11","Via ⁦@ndn⁩ - Vaccines are a critical piece of modern-day medical care — that’s why I’m working alongside religious leaders to re-examine and refine how vaccine exemptions are managed in #FL, for the safety of our children. #FlaPol https://t.co/b1PebmkIP4",1
"12","Clinical trial results indicate Moderna coronavirus vaccine is on the right track

https://t.co/doFBR0OzZJ",1
"13","RT @ShawnteJamesMD: All 50 states have legislation requiring specified vaccines, but 15 states allow exemptions for personal or moral belie…",1
"14","RT @BrandyZadrozny: Important for those not versed in anti-vaxx talking points: anti-vaxx activists say """"I am not against vaccines,"""" prefer…",1
"15","RT @cityofcorona: In recognition of World Rabies Day, Corona Animal Services &amp; Enforcement will hold a Low-Cost Rabies Vaccination &amp; Dog Li…",1
"16","The House has passed SCR 67 (est. a green and better building advisory committee) &amp; SCR 66 est. vaccinations as a public health tool.",1
"17","RT @MarshallCoWVOEM: The Marshall County Health Department will be holding a Tetanus Vaccination Clinic from 1pm until 4pm on Monday... htt…",1
"18","There are more than 2,100 reported cases of the extremely contagious #HepatitisA in FL this year. More than 100 cases reported in Marion County. Free vaccinations being offered at the @HealthyFla #MarionCounty office (1801 SE 32nd Ave) through Aug. 30th. https://t.co/Q72Gjx1tss",1
"19","RT @DrPanMD: @ChelseaClinton @ChelseaClinton , pro-science parents in @VaccinateCal led coalitions to pass important vaccine legislation #S…",1
"20","@kevinjlangton @MattMcNeilShow @RepMaryFranson @sallyjos @bspinmn My bill, asks that pharmaceutical manufacturers be held liable for deaths or damages, which is how it was until the 1990s when dozens of more vaccines hit the mkt.  They have paid out $2 billion through a special vaccine injury court, but that court is not sufficient. 2/",1
"21","Measles is the most contagious disease in the world. The reduction of vaccinations is causing this and other diseases to make a comeback. Please, get vaccinated. And support my bill to make sure we stop seeing headlines like this. #vaccination #measles 

https://t.co/KHvKUwOsTM",1
"22","RT @tombarr26816936: Experts are calling on #Facebook to counter closed groups 
So-called #antivaxxers” operate on Facebook in closed group…",1
"23","RT @MattKleinSD52: Big crowd at our town hall today—election security, health care costs, vaccine policy, Constitutional amendments, and mo…",1
"24","RT @ImmunizeCa: Declare your independence from vaccine misinformation. Get the facts: https://t.co/34DwH6X9YH #WeThePeopleVax

#CBS #Parent…",1
"25","Local health officials encouraging revaccination https://t.co/dqDA0T8Vm0",1
"26","Proud to know that professionals in Andover are working hard to produce a potential #COVID19 vaccine.
https://t.co/OSbW8pTGw5
#Coronavirus #vaccine @pfizer  #mapoli #andoverma #andover",1
